score,bucket,sub_bucket_id,sub_bucket_label,confidence,n_label_genes,status,n_genes
EMT,EMT Maintenance,emt_maintenance_louvain_15,JAK-STAT Signalling,High,24,Unchanged,24
EMT,EMT Maintenance,emt_maintenance_louvain_4,MAPK Signalling,High,63,Unchanged,63
EMT,EMT Maintenance,emt_maintenance_louvain_14,NF-kB Signalling,High,70,Unchanged,70
EMT,EMT Maintenance,emt_maintenance_louvain_7,PKA/CREB Signalling,Medium,28,Unchanged,28
EMT,EMT Maintenance,emt_maintenance_louvain_3,Protein Phosphatase Regulation,Medium,29,Unchanged,29
EMT,EMT Maintenance,emt_maintenance_louvain_5,Stress-Activated Protein Kinase Signalling,High,24,Unchanged,24
EMT,EMT Maintenance,emt_maintenance_louvain_12,Vascular RTK Signalling,High,30,Condensed,30
EMT,EMT Maintenance,emt_maintenance_louvain_0,Voltage-Gated Calcium Channel Signalling,High,31,Unchanged,31
EMT,EMT Maintenance,emt_maintenance_louvain_6,mTOR/AMPK Signalling,High,26,Unchanged,26
EMT,EMT Maintenance,emt_maintenance_louvain_8,p53-mediated DNA Damage Response,High,67,Condensed,67
EMT,Epithelial Markers,epithelial_markers_louvain_2,Epithelial Junction Organisation,High,71,,71
EMT,Epithelial Markers,epithelial_markers_louvain_3,ErbB/FGFR RTK Signalling,Medium,23,,23
EMT,Epithelial Markers,epithelial_markers_louvain_1,Luminal Epithelial Identity,Medium,49,,49
EMT,Epithelial Markers,epithelial_markers_louvain_0,Stress-Responsive Signalling,Low,31,,31
EMT,Mesenchymal Markers,mesenchymal_markers_louvain_0,Actomyosin Contractility,Medium,52,Unchanged,52
EMT,Mesenchymal Markers,mesenchymal_markers_louvain_7,Collagen Fibril Organisation,High,61,Unchanged,61
EMT,Mesenchymal Markers,mesenchymal_markers_louvain_4,Cytokine & Chemokine Signalling,High,30,Unchanged,30
EMT,Mesenchymal Markers,mesenchymal_markers_louvain_1,ECM-Receptor Interaction,High,35,Unchanged,35
EMT,Mesenchymal Markers,mesenchymal_markers_louvain_5,EMT Transcription Factors,High,42,Unchanged,42
EMT,Mesenchymal Markers,mesenchymal_markers_louvain_2,Growth Factor Signalling,Low,27,Labelled,27
EMT,Mesenchymal Markers,mesenchymal_markers_louvain_6,Matricellular Proteins,Medium,26,Unchanged,26
EMT,Mesenchymal Markers,mesenchymal_markers_louvain_3,Mesenchymal Secretome,Medium,75,Unchanged,75
Fibrosis,Cell-Matrix Adhesion,cell-matrix_adhesion_louvain_3,Basement Membrane Organisation,High,24,Relabelled,24
Fibrosis,Cell-Matrix Adhesion,cell-matrix_adhesion_louvain_7,Cell Cycle G1/S Transition,Medium,26,Unchanged,26
Fibrosis,Cell-Matrix Adhesion,cell-matrix_adhesion_louvain_2,Collagen Formation,High,28,Unchanged,28
Fibrosis,Cell-Matrix Adhesion,cell-matrix_adhesion_louvain_5,Growth Factor Signalling,High,30,Unchanged,30
Fibrosis,Cell-Matrix Adhesion,cell-matrix_adhesion_louvain_0,Integrin-Mediated Focal Adhesion,Medium,38,Unchanged,38
Fibrosis,Cell-Matrix Adhesion,cell-matrix_adhesion_louvain_6,Intracellular Signal Transduction,Medium,37,Unchanged,37
Fibrosis,Cell-Matrix Adhesion,cell-matrix_adhesion_louvain_1,Leukocyte and Platelet Adhesion,High,53,Unchanged,53
Fibrosis,Cell-Matrix Adhesion,cell-matrix_adhesion_louvain_4,Matrix Adhesion Signalling,High,30,Unchanged,30
Fibrosis,ECM Remodelling,ecm_remodelling_louvain_5,Collagen Fibril Organisation,High,70,Unchanged,70
Fibrosis,ECM Remodelling,ecm_remodelling_louvain_4,ECM-Receptor Interaction,High,72,Unchanged,72
Fibrosis,ECM Remodelling,ecm_remodelling_louvain_6,Elastic Fibre & Proteoglycan Matrix Assembly,Low,49,Labelled,49
Fibrosis,ECM Remodelling,ecm_remodelling_louvain_1,Matrix Degradation,Medium,80,Unchanged,80
Fibrosis,ECM Remodelling,ecm_remodelling_louvain_2,Plasminogen Activation and Fibrinolysis,Medium,33,Unchanged,33
Fibrosis,ECM Remodelling,ecm_remodelling_louvain_3,TGF-β/Smad-driven Transcriptional Programme,High,73,Unchanged,73
Fibrosis,ECM Remodelling,ecm_remodelling_louvain_0,Vesicle-Mediated Trafficking,Low,14,Unchanged,14
Fibrosis,Fibroblast Signature,fibroblast_signature_louvain_3,Chromatin-Regulated Cell Cycle Control,High,96,Absorbs FS1,96
Fibrosis,Fibroblast Signature,fibroblast_signature_louvain_0,Cytoskeletal Remodelling,High,50,Unchanged,50
Fibrosis,Fibroblast Signature,fibroblast_signature_louvain_1,Myofibroblast Differentiation,High,54,Unchanged,54
Fibrosis,Fibroblast Signature,fibroblast_signature_louvain_2,Wnt Signalling,Medium,20,Unchanged,20
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_5,BMP/Smad signalling,High,78,Unchanged,78
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_10,Canonical Wnt Signalling,High,23,Unchanged,23
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_3,Cell Cycle G1/S Transition,High,21,Unchanged,21
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_13,Cytokine-Cyotkine Receptor Interaction,High,67,Unchanged,67
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_8,FGF Signalling,High,55,Unchanged,55
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_2,HIF-1 Signalling,Medium,73,Unchanged,73
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_15,Hedgehog Signalling,High,54,Unchanged,54
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_14,JAK-STAT Signalling,High,78,Unchanged,78
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_9,Matricellular Signalling,High,32,Unchanged,32
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_0,Metabolic Reprogramming,High,30,Unchanged,30
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_1,NF-kB/JNK Inflammatory Signalling & Myofibroblast Activation,Medium,38,Condensed,38
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_11,Non-Canonical Wnt signalling,High,26,Unchanged,26
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_6,Notch Signalling,High,66,Unchanged,66
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_7,RTK Signalling,High,69,Unchanged,69
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_4,TGF-beta Signalling,High,20,Unchanged,20
Fibrosis,Pro-Fibrotic Signalling,pro-fibrotic_signalling_louvain_12,Wnt Ligand-Receptor Interaction,High,60,Unchanged,60
Immunogenicity,Antigen Presentation,antigen_presentation_louvain_6,Antigen Processing & Presentation,High,44,Unchanged,44
Immunogenicity,Antigen Presentation,antigen_presentation_louvain_3,Cytoskeletal Organisation,Medium,64,Unchanged,64
Immunogenicity,Antigen Presentation,antigen_presentation_louvain_5,Endocytic Trafficking,Medium,39,Unchanged,39
Immunogenicity,Antigen Presentation,antigen_presentation_louvain_0,IFN-γ-Regulated Antigen Processing,Medium,21,Relabelled,21
Immunogenicity,Antigen Presentation,antigen_presentation_louvain_1,Immunoglobulin-Mediated Adaptive Immunity,Medium,26,Unchanged,26
Immunogenicity,Antigen Presentation,antigen_presentation_louvain_2,Lysosomal Proteolysis,High,5,Unchanged,5
Immunogenicity,Antigen Presentation,antigen_presentation_louvain_4,NK Cell Cytotoxicity,High,10,Unchanged,10
Immunogenicity,Inflammation,inflammation_louvain_4,Chemokine Signalling,High,10,Unchanged,10
Immunogenicity,Inflammation,inflammation_louvain_11,Cytokine-Cytokine Receptor Interaction,High,10,Unchanged,10
Immunogenicity,Inflammation,inflammation_louvain_7,DAMP/TLR-Driven Inflammation,High,45,Absorbs B9,45
Immunogenicity,Inflammation,inflammation_louvain_5,Fc receptor-mediated Signalling,High,30,Unchanged,30
Immunogenicity,Inflammation,inflammation_louvain_6,Integrin Signalling,Medium,5,Unchanged,5
Immunogenicity,Inflammation,inflammation_louvain_10,JAK-STAT Signalling Pathway,High,10,Unchanged,10
Immunogenicity,Inflammation,inflammation_louvain_3,Leukocyte Degranulation,Medium,7,Unchanged,7
Immunogenicity,Inflammation,inflammation_louvain_8,Leukocyte Transendothelial Migration,Low,9,Labelled,9
Immunogenicity,Inflammation,inflammation_louvain_2,Leukotriene Biosynthesis,Low,7,Labelled,7
Immunogenicity,Inflammation,inflammation_louvain_0,NLRP6 Inflammasome Signalling,High,9,Relabelled,9
Immunogenicity,Inflammation,inflammation_louvain_9,NOD Signalling,Low,6,Labelled,6
Immunogenicity,Inflammation,inflammation_louvain_1,T-Cell Co-Stimulatory Checkpoint,Low,11,Labelled,11
Immunogenicity,Inflammation,inflammation_louvain_12,Th1/Th2 Cell Differentiation,High,5,Unchanged,5
Immunogenicity,Innate Immune Activation,innate_immune_activation_louvain_11,Akt/CREB Transcriptional Signalling,Medium,23,Unchanged,23
Immunogenicity,Innate Immune Activation,innate_immune_activation_louvain_10,Antigen Processing and Presentation,Medium,10,Unchanged,10
Immunogenicity,Innate Immune Activation,innate_immune_activation_louvain_9,Chemokine Signalling,High,31,Unchanged,31
Immunogenicity,Innate Immune Activation,innate_immune_activation_louvain_8,Complement & Coagulation Cascade,High,20,Unchanged,20
Immunogenicity,Innate Immune Activation,innate_immune_activation_louvain_1,Complement Activation,High,13,Unchanged,13
Immunogenicity,Innate Immune Activation,innate_immune_activation_louvain_0,DAMP-Mediated MAPK Signalling,High,45,Relabelled,45
Immunogenicity,Innate Immune Activation,innate_immune_activation_louvain_2,Epigenetic Innate Immune Regulation,Low,6,Labelled,6
Immunogenicity,Innate Immune Activation,innate_immune_activation_louvain_12,JAK-STAT Signalling Pathway,High,40,Unchanged,40
Immunogenicity,Innate Immune Activation,innate_immune_activation_louvain_5,Leukocyte Degranulation,Medium,7,Unchanged,7
Immunogenicity,Innate Immune Activation,innate_immune_activation_louvain_7,NK-Cell Mediated Cytotoxicity,High,47,Unchanged,47
Immunogenicity,Innate Immune Activation,innate_immune_activation_louvain_6,Phagolysosomal RAB GTPase Trafficking,High,5,Condensed,5
Immunogenicity,Innate Immune Activation,innate_immune_activation_louvain_4,RNA Pol III Innate Immune Sensing,High,17,Relabelled,17
Immunogenicity,Innate Immune Activation,innate_immune_activation_louvain_3,Toll-Like Receptor Signalling Pathway,High,70,Unchanged,70
Immunogenicity,TME/Stroma,tme_stroma_louvain_5,BMP/TGF-β signalling,High,22,Unchanged,22
Immunogenicity,TME/Stroma,tme_stroma_louvain_7,Glycolysis,High,7,Unchanged,7
Immunogenicity,TME/Stroma,tme_stroma_louvain_3,HIF/NF-kB Crosstalk,Low,35,Relabelled,35
Immunogenicity,TME/Stroma,tme_stroma_louvain_4,MAPK Signalling,Medium,23,Unchanged,23
Immunogenicity,TME/Stroma,tme_stroma_louvain_2,Ras/PI3K/Akt Pathway,High,39,Unchanged,39
Immunogenicity,TME/Stroma,tme_stroma_louvain_9,TCR & Calcium/NFAT signalling,High,12,Unchanged,12
Immunogenicity,TME/Stroma,tme_stroma_louvain_0,TGF-β Signalling,High,41,Unchanged,41
Immunogenicity,TME/Stroma,tme_stroma_louvain_1,mTOR-mediated Translational Regulation,Medium,25,Unchanged,25
